设备编号,流水日期,取款存款轧差
20020031,2019/11/24,227100
20020031,2019/11/25,77400
20020031,2019/11/26,23300
20020031,2019/11/27,146000
20020031,2019/11/28,5950
20020031,2019/11/29,7125
20020031,2019/11/30,92275
20020031,2019/12/1,131125
20020031,2019/12/2,-17675
20020031,2019/12/3,-24000
20020031,2019/12/4,32250
20020031,2019/12/5,0
20020031,2019/12/6,-11800
20020031,2019/12/7,106267
20020031,2019/12/8,181967
20020031,2019/12/9,-20319
20020035,2019/6/15,58900
20020035,2019/6/25,-3100
20020035,2019/6/26,32400
20020035,2019/6/27,5500
20020035,2019/6/28,21200
20020035,2019/6/29,39000
20020035,2019/6/30,24900
20020035,2019/7/1,18600
20020035,2019/7/2,10900
20020035,2019/7/3,-2700
20020035,2019/7/4,-1600
20020035,2019/7/5,5400
20020035,2019/7/6,800
20020035,2019/7/7,11900
20020035,2019/7/8,700
20020035,2019/7/9,-16800
20020035,2019/7/10,-24900
20020035,2019/7/11,-400
20020035,2019/7/12,25900
20020035,2019/7/13,66400
20020035,2019/7/14,24600
20020035,2019/7/15,17200
20020035,2019/7/16,26800
20020035,2019/7/17,-10000
20020035,2019/7/18,21800
20020035,2019/7/19,18300
20020035,2019/7/20,300
20020035,2019/7/21,44100
20020035,2019/7/22,25600
20020035,2019/7/23,42600
20020035,2019/7/24,53300
20020035,2019/7/25,900
20020035,2019/7/26,23000
20020035,2019/7/27,17500
20020035,2019/7/28,15200
20020035,2019/7/29,29200
20020035,2019/7/30,14500
20020035,2019/7/31,-6900
20020035,2019/8/1,6300
20020035,2019/8/2,-12000
20020035,2019/8/3,-10600
20020035,2019/8/4,40900
20020035,2019/8/5,18200
20020035,2019/8/6,18100
20020035,2019/8/7,1800
20020035,2019/8/8,23000
20020035,2019/8/9,28400
20020035,2019/8/10,12300
20020035,2019/8/11,49500
20020035,2019/8/12,24100
20020035,2019/8/13,58200
20020035,2019/8/14,8000
20020035,2019/8/15,19100
20020035,2019/8/16,23500
20020035,2019/8/17,32700
20020035,2019/8/18,28000
20020035,2019/8/19,8000
20020035,2019/8/20,17700
20020035,2019/8/21,-8500
20020035,2019/8/22,-32100
20020035,2019/8/23,600
20020035,2019/8/24,8900
20020035,2019/8/25,37600
20020035,2019/8/26,-6200
20020035,2019/8/27,22400
20020035,2019/8/28,-8700
20020035,2019/8/29,23400
20020035,2019/8/30,57900
20020035,2019/8/31,25100
20020035,2019/9/1,11900
20020035,2019/9/2,5500
20020035,2019/9/3,-13300
20020035,2019/9/4,7300
20020035,2019/9/5,9500
20020035,2019/9/6,1200
20020035,2019/9/7,58100
20020035,2019/9/8,13500
20020035,2019/9/9,-12200
20020035,2019/9/10,7000
20020035,2019/9/11,39300
20020035,2019/9/12,60800
20020035,2019/9/13,50500
20020035,2019/9/14,18600
20020035,2019/9/15,52300
20020035,2019/9/16,-400
20020035,2019/9/17,-7500
20020035,2019/9/18,18400
20020035,2019/9/19,17200
20020035,2019/9/20,4800
20020035,2019/9/21,0
20020035,2019/9/22,17800
20020035,2019/9/23,4138
20020035,2019/9/24,49300
20020035,2019/9/25,-4100
20020035,2019/9/26,-4300
20020035,2019/9/27,6600
20020035,2019/9/28,235700
20020035,2019/9/29,35900
20020035,2019/9/30,-8037
20020035,2019/10/1,-10100
20020035,2019/10/2,-6587
20020035,2019/10/3,600
20020035,2019/10/4,6000
20020035,2019/10/5,-11900
20020035,2019/10/6,-412
20020035,2019/10/7,12350
20020035,2019/10/8,8212
20020035,2019/10/9,6963
20020035,2019/10/10,4900
20020035,2019/10/11,-800
20020035,2019/10/12,29500
20020035,2019/10/13,3700
20020035,2019/10/14,22150
20020035,2019/10/15,32800
20020035,2019/10/16,4800
20020035,2019/10/17,19700
20020035,2019/10/18,16100
20020035,2019/10/19,16100
20020035,2019/10/20,43600
20020035,2019/10/21,-900
20020035,2019/10/22,10500
20020035,2019/10/23,3400
20020035,2019/10/24,1200
20020035,2019/10/25,-24000
20020035,2019/10/26,7300
20020035,2019/10/27,-23800
20020035,2019/10/28,-34700
20020035,2019/10/29,-16000
20020035,2019/10/30,-1300
20020035,2019/10/31,-11400
20020035,2019/11/1,7300
20020035,2019/11/2,28100
20020035,2019/11/3,3900
20020035,2019/11/4,9700
20020035,2019/11/5,-300
20020035,2019/11/6,-8000
20020035,2019/11/7,1800
20020035,2019/11/8,38700
20020035,2019/11/9,27200
20020035,2019/11/10,4000
20020035,2019/11/11,6000
20020035,2019/11/12,26700
20020035,2019/11/13,46900
20020035,2019/11/14,22500
20020035,2019/11/15,18900
20020035,2019/11/16,20600
20020035,2019/11/17,10500
20020035,2019/11/18,-14500
20020035,2019/11/19,38500
20020035,2019/11/20,-5900
20020035,2019/11/21,-17500
20020035,2019/11/22,12900
20020035,2019/11/23,14400
20020035,2019/11/24,9900
20020035,2019/11/25,-5200
20020035,2019/11/26,15000
20020035,2019/11/27,0
20020035,2019/11/28,-1150
20020035,2019/11/29,19450
20020035,2019/11/30,22575
20020035,2019/12/1,7075
20020035,2019/12/2,-1000
20020035,2019/12/3,19975
20020035,2019/12/4,8250
20020035,2019/12/5,2267
20020035,2019/12/6,23500
20020035,2019/12/7,20733
20020035,2019/12/8,8133
20020035,2019/12/9,-3675
20020041,2019/6/25,6500
20020041,2019/6/26,-4200
20020041,2019/6/27,-27700
20020041,2019/6/28,-29000
20020041,2019/6/29,-2000
20020041,2019/7/1,-26700
20020041,2019/7/3,300
20020041,2019/7/4,-21200
20020041,2019/7/5,7100
20020041,2019/7/6,10600
20020041,2019/7/8,-11300
20020041,2019/7/10,-7000
20020041,2019/7/11,1300
20020041,2019/7/12,6100
20020041,2019/7/17,-6000
20020041,2019/7/19,4400
20020041,2019/7/20,1000
20020041,2019/7/22,-10400
20020041,2019/7/25,18000
20020041,2019/7/26,3700
20020041,2019/7/31,0
20020041,2019/8/2,11000
20020041,2019/8/9,14300
20020041,2019/8/10,1000
20020041,2019/8/12,4200
20020041,2019/8/15,-2000
20020041,2019/8/16,8800
20020041,2019/8/17,50000
20020041,2019/8/19,-300
20020041,2019/8/21,-5600
20020041,2019/8/22,2600
20020041,2019/8/23,800
20020041,2019/8/28,23700
20020041,2019/8/30,-14000
20020041,2019/8/31,31300
20020041,2019/9/2,-77700
20020041,2019/9/5,2900
20020041,2019/9/6,15900
20020041,2019/9/7,500
20020041,2019/9/8,12700
20020041,2019/9/9,6500
20020041,2019/9/10,22900
20020041,2019/9/11,19000
20020041,2019/9/12,10800
20020041,2019/9/20,17300
20020041,2019/9/21,-13000
20020041,2019/9/23,-11900
20020041,2019/9/26,29400
20020041,2019/9/27,5400
20020041,2019/9/28,2000
20020041,2019/9/29,3700
20020041,2019/9/30,10800
20020041,2019/10/2,-5000
20020041,2019/10/4,2000
20020041,2019/10/9,4000
20020041,2019/10/11,-4300
20020041,2019/10/12,500
20020041,2019/10/14,-15000
20020041,2019/10/17,-7800
20020041,2019/10/18,27500
20020041,2019/10/19,300
20020041,2019/10/20,-6400
20020041,2019/10/21,1200
20020041,2019/10/22,33500
20020041,2019/10/23,53400
20020041,2019/10/24,4600
20020041,2019/10/25,-1200
20020041,2019/10/26,-21700
20020041,2019/10/28,74000
20020041,2019/10/31,15800
20020041,2019/11/1,16900
20020041,2019/11/2,5500
20020041,2019/11/3,5000
20020041,2019/11/4,500
20020041,2019/11/5,76900
20020041,2019/11/6,0
20020041,2019/11/7,2500
20020041,2019/11/8,15700
20020041,2019/11/9,41600
20020041,2019/11/11,-21500
20020041,2019/11/13,28900
20020041,2019/11/14,-12800
20020041,2019/11/15,-13400
20020041,2019/11/16,46200
20020041,2019/11/18,11000
20020041,2019/11/20,-5000
20020041,2019/11/21,-1300
20020041,2019/11/22,89600
20020041,2019/11/23,-14600
20020041,2019/11/24,-1000
20020041,2019/11/25,19400
20020041,2019/11/26,-74800
20020041,2019/11/27,16900
20020044,2019/6/15,6413
20020044,2019/6/25,8000
20020044,2019/6/26,-2700
20020044,2019/6/27,-5937
20020044,2019/6/28,-1500
20020044,2019/6/29,10200
20020044,2019/6/30,-2900
20020044,2019/7/1,-5500
20020044,2019/7/2,3200
20020044,2019/7/3,5900
20020044,2019/7/4,17900
20020044,2019/7/5,-48800
20020044,2019/7/6,-14800
20020044,2019/7/7,-5625
20020044,2019/7/8,14000
20020044,2019/7/9,21800
20020044,2019/7/10,-33900
20020044,2019/7/11,50700
20020044,2019/7/12,32000
20020044,2019/7/13,5300
20020044,2019/7/14,-1900
20020044,2019/7/15,27000
20020044,2019/7/16,-26300
20020044,2019/7/17,40100
20020044,2019/7/18,6700
20020044,2019/7/19,4800
20020044,2019/7/20,27700
20020044,2019/7/21,-200
20020044,2019/7/22,-24000
20020044,2019/7/23,11700
20020044,2019/7/24,6900
20020044,2019/7/25,-9000
